experiment,design,mode,precision,input_elements,raw_bytes,transfer_bytes,dma_words_32b,compression_ratio_vs_raw,assumed_sparsity,pack_time_us,latency_cycles,lut,ff,bram,dsp,evidence_source,notes
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_balanced_strict,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34935,46048,59,93,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_balanced_strict,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34935,46048,59,93,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_conservative_strict,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34085,45473,55,72,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_conservative_strict,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34085,45473,55,72,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_conservative_strict,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34085,45473,55,72,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_1_feasible,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,29199,20834,9,53,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_1_feasible,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,29199,20834,9,53,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_1_feasible,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,29199,20834,9,53,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_feasible,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,31808,22415,15,96,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_feasible,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,31808,22415,15,96,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_feasible,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,31808,22415,15,96,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_relaxed_180mhz,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,31701,22415,15,96,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_relaxed_180mhz,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,31701,22415,15,96,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_relaxed_180mhz,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,31701,22415,15,96,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_3_candidate,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,,40572,63,172,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_3_candidate,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,,40572,63,172,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_3_candidate,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,,40572,63,172,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_4_expected_resource_fail,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,,29912,71,220,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_4_expected_resource_fail,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,,29912,71,220,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_4_expected_resource_fail,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,,29912,71,220,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_2epoch_b2_balanced,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_2epoch_b2_balanced,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_2epoch_b2_balanced,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b2_balanced,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b2_balanced,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b2_balanced,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b4_balanced,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b4_balanced,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b4_balanced,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
