design,source,epochs,batch_size,train_steps,initial_loss,final_loss,loss_delta,loss_decreased,training_compare,native_accumulated_optimizer,eval_only_loss_mode,software_reference_match,status,notes
"conv2d_bias_grad_typed<4, 26, 26, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.003.fe.inline-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
conv2d_bias_grad_typed_Pipeline_VITIS_LOOP_661_2_VITIS_LOOP_666_3,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"conv2d_weight_grad_typed<28, 28, 1, 26, 26, 4, 3, 1, 0, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2, 2, 2, 2, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
conv2d_weight_grad_typed_Pipeline_VITIS_LOOP_505_5_VITIS_LOOP_510_61,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_115_1,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_116_2,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_118_4,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_123_5,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_124_6,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
