design_id,precision,training_decision_status,training_decision_reason,initial_loss,final_loss,loss_delta,gradient_cosine,weight_after_cosine,weight_delta_cosine,grad_mae,weight_after_mae,hls_latency_max,vivado_lut,vivado_dsp,vivado_bram
T0_sgd_tiled_m_axi,"fx16_6, grad fx24_10",reference_aligned_training_step,gradient direction is aligned with the Python reference,0.1307925283908844,0.1277645230293274,-0.003028005361557007,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.0006649765418842435,951,29370,15,17.5
T1_momentum_tiled_m_axi,"fx16_6, grad fx24_10",reference_aligned_training_step,gradient direction is aligned with the Python reference,0.1307925283908844,0.1277645230293274,-0.003028005361557007,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.0006649765418842435,951,29370,15,17.5
T2_adam_tiled_m_axi,"fx16_6, grad fx24_10",aggressive_training_update,weight-delta cosine is materially lower than the reference-update direction,0.1307925283908844,0.08728247135877609,-0.04351005703210831,0.9999946355819702,0.9961696267127991,0.6845365166664124,0.00208119279704988,0.01630919612944126,951,30563,15,18
T3_cross_entropy_tiled_m_axi,"fx16_6, grad fx24_10",acceptable_training_tradeoff,training update differs from reference but preserves usable gradient/weight evidence,0.5643391013145447,0.5623418092727661,-0.0019972920417785645,0.9999816417694092,0.9999942779541016,0.8834608197212219,0.001026625162921846,0.0006480350275523961,976,34727,44,17.5
T4_tile32_m_axi,"fx16_6, grad fx24_10",reference_aligned_training_step,gradient direction is aligned with the Python reference,0.1307925283908844,0.1277645230293274,-0.003028005361557007,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.0006649765418842435,823,28989,15,17.5
T5_tile128_m_axi,"fx16_6, grad fx24_10",reference_aligned_training_step,gradient direction is aligned with the Python reference,0.1307925283908844,0.1277645230293274,-0.003028005361557007,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.0006649765418842435,1207,29818,15,17.5
T6_accum_batch2_m_axi,"fx16_6, grad fx24_10",reference_aligned_training_step,gradient direction is aligned with the Python reference,0.1307925283908844,0.1277645230293274,-0.003028005361557007,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.0006649765418842435,951,29370,15,17.5
T7_deployable_training_bitstream,"fx16_6, grad fx24_10",reference_aligned_training_step,gradient direction is aligned with the Python reference,0.1307925283908844,0.1277645230293274,-0.003028005361557007,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.0006649765418842435,951,29370,15,17.5
T8_real_fpga_training_curve_candidate,"fx16_6, grad fx24_10",reference_aligned_training_step,gradient direction is aligned with the Python reference,0.1307925283908844,0.1277645230293274,-0.003028005361557007,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.0006649765418842435,951,29370,15,17.5
