design_id,precision,decision_status,decision_reason,quality_metric_name,quality_metric,max_abs_error,mae,rmse,cosine_similarity,resource_saving_lut_vs_fx16,resource_saving_bram_vs_fx16,hls_latency_max,vivado_lut,vivado_dsp,vivado_bram,vivado_power_w
I0_baseline_fx16_embedded,fx16_6,recommended_quality,prediction agreement 1 is near-identical to the reference,prediction_agreement,1.0,0.45896291732788086,0.09160156267407768,0.1825762773761004,0.8394228491898975,0.0,0.0,329247,12708,5,62.5,2.842
I1_precision_fx8_embedded,fx8_3,not_recommended_for_quality,prediction agreement 0 is below the configured threshold,prediction_agreement,0.0,0.9062285423278809,0.1624957063434264,0.3000579583475164,0.31623442827312326,36.89801699716714,66.4,330920,8019,4,21,2.786
I2_precision_fx24_embedded,fx24_10,recommended_quality,prediction agreement 1 is near-identical to the reference,prediction_agreement,1.0,2.1457672119140625e-05,4.2936565736169635e-06,9.463567235926423e-06,0.9999999997824109,-32.20805791627321,-34.4,329260,16801,13,84,2.88
